ID,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18
1,1341,1123,1370,1365,1604,1407,1091,1220,962,1072,1063,615,821,804,771,1409,1159,1059
2,11154,9094,10079,7492,10520,9175,8643,9984,7341,8561,10550,6312,7897,7450,7320,8381,7522,7582
3,138,189,144,170,144,106,164,132,130,126,78,98,206,96,181,104,205,258
4,12491,12734,12835,11195,13356,11462,14035,16271,11278,16193,10096,15028,16413,15915,14085,16287,9350,12705
5,25,6,2,31,8,21,21,6,63,13,28,45,0,7,11,4,61,5
6,36,0,0,1,5,21,13,1,83,3,31,79,0,1,0,0,0,0
7,381,203,263,781,352,566,368,112,660,343,748,510,72,279,533,125,1172,280
8,12,0,0,1,3,7,13,3,39,3,7,41,0,0,0,0,0,0
9,435,405,225,637,345,435,732,125,1181,339,590,632,129,137,300,140,1330,789
10,376,1,6,0,141,235,150,53,561,115,263,410,0,7,0,1,0,0
11,57,0,1,0,61,138,46,9,70,33,38,299,0,2,0,0,0,4
12,525,2861,1570,4231,1070,332,932,365,434,1084,272,520,2790,1365,4057,1558,3593,2636
13,179,175,126,256,286,140,196,159,158,222,93,157,161,116,125,148,123,155
14,657,349,681,968,504,993,673,159,1300,685,1450,1133,189,855,918,239,1660,461
15,676,65,68,70,108,978,121,127,1231,82,573,1025,11,45,10,18,58,41
16,38,24,86,34,77,107,172,20,59,29,90,49,28,40,77,37,32,7
17,29,1,2,0,5,20,6,1,47,9,21,44,0,0,0,0,1,0
18,17,53,39,45,9,23,3,1,37,8,27,40,4,76,13,21,61,18
19,221,341,147,194,246,280,589,144,389,212,154,542,335,213,162,87,152,598
20,13,9,5,10,6,80,15,17,40,2,68,40,1,7,1,1,14,13
21,11,0,1,0,2,21,8,16,43,4,14,28,0,3,0,0,1,0
22,33,1,0,1,10,37,5,7,41,4,35,46,0,2,1,0,0,0
23,110,65,40,155,183,457,220,94,245,144,295,182,8,29,31,9,187,53
24,20,1,3,4,10,29,8,5,12,4,45,39,0,6,0,0,6,0
25,147,22,314,28,106,224,146,33,351,106,273,232,5,384,17,91,51,38
26,50,228,191,259,103,127,142,33,115,90,143,68,78,158,66,91,469,294
27,65,71,174,10,75,323,124,148,115,80,353,106,13,195,1,99,12,65
28,71,17,22,68,27,73,46,35,166,35,91,116,0,26,14,10,94,19
29,1,0,3,0,1,3,1,6,2,1,5,5,0,4,0,10,2,0
30,33,57,40,28,13,58,15,20,108,26,105,68,16,32,16,13,56,82
31,1,0,0,0,3,14,4,4,15,5,16,9,0,0,0,0,0,0
32,2,3,12,78,0,0,0,0,3,0,2,1,0,22,64,2,71,0
33,2,2,5,5,1,5,3,0,6,3,3,2,2,5,2,0,9,4
34,65,12,17,5,11,81,38,48,100,6,102,162,0,11,1,14,6,10
35,19,9,3,10,7,14,31,1,76,5,22,35,0,0,3,0,24,26
36,2,0,0,0,0,1,2,1,3,0,1,3,0,0,0,0,2,0
37,6,1,62,7,3,200,2,53,11,1,180,8,0,91,1,33,4,1
38,31,0,0,0,10,57,23,16,65,8,52,61,0,1,0,0,0,0
39,17,1,3,0,3,26,8,3,22,1,34,64,0,0,1,0,2,0
40,29,63,41,24,18,62,23,14,93,6,58,62,22,40,8,23,49,85
41,10,0,0,0,1,18,6,4,13,3,23,14,0,0,0,0,0,0
42,34,35,45,74,31,78,46,10,111,32,60,56,6,46,42,12,121,47
43,13,7,16,38,23,43,29,3,29,17,40,20,2,20,18,3,62,12
44,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
45,1,113,53,18,4,3,1,1,4,0,0,4,88,68,13,23,16,210
46,2,49,87,462,24,2,56,9,4,21,5,3,197,72,665,21,350,204
47,22,1,0,0,13,23,14,0,31,6,40,22,0,0,0,0,0,1
48,43,29,69,38,21,75,25,9,62,29,95,86,1,84,9,4,30,6
49,12,0,6,10,9,31,7,8,42,9,42,36,0,11,2,7,9,2
50,6,15,8,10,24,16,12,7,8,1,10,5,6,4,2,10,7,9
51,14,0,0,0,5,21,6,5,40,5,15,22,0,0,0,0,0,0
52,30,122,98,244,53,22,43,17,17,44,9,15,97,49,133,86,160,108
53,35,213,75,205,90,20,150,5,77,54,11,30,151,28,175,10,252,397
54,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
55,27,21,23,18,10,13,6,16,11,8,11,3,8,6,9,11,12,10
56,21,0,0,0,5,19,4,2,35,5,42,47,0,2,0,0,0,0
57,18,155,68,44,11,52,11,20,47,13,68,36,45,78,16,20,100,177
58,8,0,0,0,0,16,0,2,25,0,12,11,0,1,0,0,0,0
59,2,81,40,20,0,1,6,1,2,0,2,1,52,32,8,13,6,132
60,1,0,5,0,0,0,0,1,1,0,0,1,0,4,0,0,1,0
61,27,31,26,27,19,27,30,30,21,24,16,10,15,15,13,30,21,29
62,10,0,3,0,4,16,5,6,21,2,20,35,0,4,0,7,2,0
63,3,0,0,0,0,4,1,1,3,0,1,3,0,1,0,0,0,0
64,33,106,31,116,68,25,100,10,49,49,18,20,87,25,88,9,128,175
65,1,21,12,1,3,0,2,2,1,2,5,2,9,14,0,9,2,14
66,14,6,4,12,10,11,15,4,34,5,22,23,0,5,3,2,28,5
67,52,34,23,11,87,132,123,59,131,62,187,77,4,21,1,9,13,43
68,33,0,4,0,12,54,23,11,65,2,84,110,0,4,0,0,1,0
69,5,0,0,0,0,4,2,0,9,0,12,11,0,0,0,0,2,0
70,1,2,7,5,2,8,15,9,4,3,7,12,0,2,0,3,0,6
71,3,4,4,3,12,32,30,1,106,4,43,21,0,2,1,5,24,21
72,22,0,5,9,8,18,12,7,34,10,18,41,1,7,6,2,7,5
73,3,0,2,4,1,2,9,3,8,0,8,6,0,0,1,0,1,0
74,13,1,1,8,4,15,8,1,24,7,5,14,0,0,4,0,7,0
75,14,24,24,45,14,23,23,9,39,9,29,33,6,23,20,16,87,42
76,9,5,13,49,11,21,7,8,12,8,26,14,0,10,11,2,65,1
77,3,0,2,0,1,6,0,2,0,1,10,1,0,8,0,0,0,0
78,1,1,19,4,0,3,1,0,0,0,55,1,0,57,0,0,1,0
79,7,4,1,0,0,7,6,0,9,1,5,4,2,2,6,0,1,1
80,8,0,4,6,0,6,3,0,7,1,9,10,0,4,0,0,6,0
81,15,0,3,1,7,39,20,7,73,3,45,36,0,9,0,4,5,0
